"","event","trial","time","PID"
"1","focus",0,0,"09ch9"
"2","blur",0,0,"09ch9"
"3","focus",0,0,"09ch9"
"4","blur",0,0,"09ch9"
"5","focus",0,0,"09ch9"
"6","fullscreenenter",0,14509,"09ch9"
"7","blur",0,0,"0bLHa"
"8","focus",0,0,"0bLHa"
"9","fullscreenexit",0,31813,"0bLHa"
"10","fullscreenenter",0,7157,"0F2w5"
"11","focus",0,0,"0xcZu"
"12","fullscreenenter",0,24328,"0xcZu"
"13","blur",1,27723,"0xcZu"
"14","focus",1,27855,"0xcZu"
"15","blur",1,34373,"0xcZu"
"16","focus",1,35072,"0xcZu"
"17","blur",1,36899,"0xcZu"
"18","focus",1,37422,"0xcZu"
"19","blur",1,40627,"0xcZu"
"20","focus",1,41354,"0xcZu"
"21","blur",776,2508490,"0xcZu"
"22","focus",776,3002507,"0xcZu"
"23","blur",0,985,"25wrE"
"24","focus",0,11144,"25wrE"
"25","fullscreenenter",0,11268,"25wrE"
"26","blur",237,1076194,"25wrE"
"27","focus",237,1083946,"25wrE"
"28","fullscreenexit",989,1756545,"25wrE"
"29","blur",989,1760219,"25wrE"
"30","focus",989,1779041,"25wrE"
"31","blur",1476,2166393,"25wrE"
"32","focus",1476,2169264,"25wrE"
"33","blur",1579,2411142,"25wrE"
"34","focus",1579,2411284,"25wrE"
"35","blur",1579,2411619,"25wrE"
"36","focus",1579,2412325,"25wrE"
"37","focus",0,0,"2P3y9"
"38","fullscreenexit",0,11066,"2P3y9"
"39","fullscreenexit",3,68006,"2P3y9"
"40","blur",3,68128,"2P3y9"
"41","focus",3,76871,"2P3y9"
"42","blur",3,93377,"2P3y9"
"43","focus",3,179274,"2P3y9"
"44","blur",3,225229,"2P3y9"
"45","focus",3,498320,"2P3y9"
"46","blur",3,512828,"2P3y9"
"47","focus",3,611089,"2P3y9"
"48","blur",3,618186,"2P3y9"
"49","focus",3,653491,"2P3y9"
"50","blur",3,655898,"2P3y9"
"51","focus",3,737456,"2P3y9"
"52","blur",112,1277093,"2P3y9"
"53","focus",113,1278482,"2P3y9"
"54","blur",118,1300457,"2P3y9"
"55","focus",119,1303711,"2P3y9"
"56","blur",127,1340339,"2P3y9"
"57","focus",128,1341484,"2P3y9"
"58","blur",141,1404932,"2P3y9"
"59","focus",142,1405596,"2P3y9"
"60","blur",150,1441934,"2P3y9"
"61","focus",151,1443412,"2P3y9"
"62","blur",155,1465466,"2P3y9"
"63","focus",156,1467107,"2P3y9"
"64","blur",178,1534986,"2P3y9"
"65","focus",179,1538117,"2P3y9"
"66","blur",185,1569003,"2P3y9"
"67","focus",185,1574211,"2P3y9"
"68","blur",207,1622486,"2P3y9"
"69","focus",207,1627367,"2P3y9"
"70","blur",216,1673034,"2P3y9"
"71","focus",216,1681877,"2P3y9"
"72","blur",231,1718175,"2P3y9"
"73","focus",231,1722606,"2P3y9"
"74","blur",238,1758797,"2P3y9"
