"","event","trial","time","PID"
"1","fullscreenenter",0,32598,"0sNWf"
"2","blur",1421,1815740,"0sNWf"
"3","focus",1421,1817117,"0sNWf"
"4","fullscreenenter",0,17718,"1grtw"
"5","fullscreenenter",0,25100,"21Gxg"
"6","focus",0,0,"247d8"
"7","fullscreenexit",0,7491,"247d8"
"8","fullscreenenter",0,20136,"3OxQp"
"9","blur",40,114138,"3OxQp"
"10","focus",40,115650,"3OxQp"
"11","blur",52,144849,"3OxQp"
"12","focus",52,149492,"3OxQp"
"13","blur",64,170018,"3OxQp"
"14","focus",64,182311,"3OxQp"
"15","blur",64,235138,"3OxQp"
"16","focus",64,235693,"3OxQp"
"17","blur",67,294160,"3OxQp"
"18","focus",67,295100,"3OxQp"
"19","blur",69,335154,"3OxQp"
"20","focus",69,336240,"3OxQp"
"21","blur",233,666528,"3OxQp"
"22","focus",233,678389,"3OxQp"
"23","blur",339,857869,"3OxQp"
"24","focus",340,858625,"3OxQp"
"25","blur",524,1087245,"3OxQp"
"26","focus",524,1087864,"3OxQp"
"27","blur",883,1423401,"3OxQp"
"28","focus",884,1424259,"3OxQp"
"29","blur",1299,1746025,"3OxQp"
"30","focus",1300,1746960,"3OxQp"
"31","blur",1302,1766730,"3OxQp"
"32","focus",1302,1803531,"3OxQp"
"33","blur",1347,1866368,"3OxQp"
"34","focus",1347,1866916,"3OxQp"
"35","blur",1466,2059589,"3OxQp"
"36","focus",1466,2061836,"3OxQp"
"37","blur",0,0,"3XtgX"
"38","focus",0,0,"3XtgX"
"39","blur",0,0,"3XtgX"
"40","focus",0,0,"3XtgX"
"41","fullscreenenter",0,721,"3XtgX"
"42","fullscreenexit",1,2640,"3XtgX"
"43","blur",59,115414,"3XtgX"
"44","focus",59,120375,"3XtgX"
"45","blur",65,157786,"3XtgX"
"46","focus",65,162821,"3XtgX"
"47","blur",67,167890,"3XtgX"
"48","focus",67,177840,"3XtgX"
"49","blur",239,548224,"3XtgX"
"50","focus",239,561448,"3XtgX"
"51","blur",454,861924,"3XtgX"
"52","focus",455,865629,"3XtgX"
"53","blur",460,872431,"3XtgX"
"54","focus",461,874340,"3XtgX"
"55","blur",463,877272,"3XtgX"
"56","focus",464,880844,"3XtgX"
"57","blur",465,882839,"3XtgX"
"58","focus",467,889637,"3XtgX"
"59","blur",468,891728,"3XtgX"
"60","focus",470,895788,"3XtgX"
"61","blur",472,898200,"3XtgX"
"62","focus",473,900665,"3XtgX"
"63","blur",510,943894,"3XtgX"
"64","focus",512,949130,"3XtgX"
"65","blur",513,951549,"3XtgX"
"66","focus",515,959420,"3XtgX"
"67","blur",731,1212878,"3XtgX"
"68","focus",731,1372500,"3XtgX"
"69","blur",924,1501958,"3XtgX"
"70","focus",924,1556069,"3XtgX"
"71","blur",1117,1712398,"3XtgX"
"72","focus",1117,1743260,"3XtgX"
"73","blur",1117,1836067,"3XtgX"
"74","focus",1117,1850520,"3XtgX"
"75","blur",1157,1875022,"3XtgX"
"76","focus",1158,1875695,"3XtgX"
"77","blur",1247,1933983,"3XtgX"
"78","focus",1248,1934770,"3XtgX"
"79","blur",1310,1988485,"3XtgX"
"80","focus",1310,1990020,"3XtgX"
"81","blur",1321,2048501,"3XtgX"
"82","focus",1321,2058365,"3XtgX"
"83","blur",1462,2160313,"3XtgX"
"84","focus",1462,2160995,"3XtgX"
"85","blur",1470,2183709,"3XtgX"
"86","focus",1470,2186316,"3XtgX"
"87","fullscreenenter",0,6860,"6w8DR"
"88","blur",848,1325185,"6w8DR"
"89","focus",848,1325186,"6w8DR"
"90","blur",1439,2516256,"6w8DR"
"91","focus",1439,3249201,"6w8DR"
"92","fullscreenenter",0,14238,"8fC6S"
"93","blur",0,6823,"8Ly0M"
"94","focus",0,12540,"8Ly0M"
"95","fullscreenenter",0,19268,"8Ly0M"
"96","blur",1,26950,"8Ly0M"
"97","focus",1,644232,"8Ly0M"
"98","fullscreenenter",0,7186,"8upq6"
"99","fullscreenexit",1459,1923524,"8upq6"
"100","blur",1459,1926197,"8upq6"
"101","focus",1459,1933091,"8upq6"
"102","blur",1459,1934005,"8upq6"
"103","focus",1459,1937278,"8upq6"
"104","blur",1459,1939963,"8upq6"
"105","focus",1459,1941031,"8upq6"
"106","fullscreenenter",0,8275,"94jwc"
"107","fullscreenexit",1447,2680270,"94jwc"
"108","blur",1447,2682027,"94jwc"
"109","focus",1447,2683057,"94jwc"
"110","blur",1447,2688454,"94jwc"
"111","focus",1447,2690123,"94jwc"
"112","blur",0,0,"9nlF1"
"113","focus",0,0,"9nlF1"
"114","blur",0,0,"9nlF1"
"115","focus",0,0,"9nlF1"
"116","blur",0,0,"9nlF1"
"117","focus",0,0,"9nlF1"
"118","blur",0,0,"9nlF1"
"119","focus",0,0,"9nlF1"
"120","blur",0,0,"9nlF1"
"121","focus",0,0,"9nlF1"
"122","blur",0,0,"9nlF1"
"123","focus",0,0,"9nlF1"
"124","blur",0,0,"9nlF1"
"125","focus",0,4213,"9nlF1"
"126","fullscreenenter",0,9780,"9nlF1"
"127","blur",1,15839,"9nlF1"
"128","focus",1,21150,"9nlF1"
"129","blur",3,31918,"9nlF1"
"130","focus",3,36883,"9nlF1"
"131","blur",64,188444,"9nlF1"
"132","focus",64,199946,"9nlF1"
"133","blur",71,282024,"9nlF1"
"134","focus",71,287374,"9nlF1"
"135","blur",426,810957,"9nlF1"
"136","focus",426,820802,"9nlF1"
"137","blur",526,996709,"9nlF1"
"138","focus",526,1033750,"9nlF1"
"139","blur",526,1034294,"9nlF1"
"140","focus",526,1039139,"9nlF1"
"141","blur",912,1437728,"9nlF1"
"142","focus",912,1444422,"9nlF1"
"143","blur",1298,1776543,"9nlF1"
"144","focus",1298,1788267,"9nlF1"
"145","blur",1431,1946938,"9nlF1"
"146","focus",1431,1947803,"9nlF1"
"147","blur",1431,1950223,"9nlF1"
"148","focus",1431,1952631,"9nlF1"
"149","blur",1447,2040805,"9nlF1"
"150","focus",1447,2898585,"9nlF1"
"151","blur",0,5054,"aAZpP"
"152","focus",0,14443,"aAZpP"
"153","blur",0,34543,"aAZpP"
"154","focus",0,37327,"aAZpP"
"155","fullscreenenter",0,39946,"aAZpP"
"156","blur",64,344662,"aAZpP"
