"","event","trial","time","PID"
"1","fullscreenenter",0,6426,"0pXya"
"2","fullscreenenter",0,7993,"1ruLt"
"3","fullscreenexit",1487,1972279,"1ruLt"
"4","blur",1487,1975514,"1ruLt"
"5","focus",1487,1977157,"1ruLt"
"6","blur",1488,1983818,"1ruLt"
"7","focus",0,0,"2wkJx"
"8","fullscreenexit",0,9310,"2wkJx"
"9","fullscreenenter",0,7612,"31PHY"
"10","blur",0,0,"3HmSJ"
"11","focus",0,0,"3HmSJ"
"12","blur",0,0,"3HmSJ"
"13","focus",0,888,"3HmSJ"
"14","fullscreenenter",0,4918,"3HmSJ"
"15","blur",1,6483,"3HmSJ"
"16","focus",1,7311,"3HmSJ"
"17","blur",5,22628,"3HmSJ"
"18","focus",5,26196,"3HmSJ"
"19","blur",17,70985,"3HmSJ"
"20","focus",17,71982,"3HmSJ"
"21","blur",58,243643,"3HmSJ"
"22","focus",58,251983,"3HmSJ"
"23","blur",65,444537,"3HmSJ"
"24","focus",65,449490,"3HmSJ"
"25","blur",65,822140,"3HmSJ"
"26","focus",65,826459,"3HmSJ"
"27","blur",67,836312,"3HmSJ"
"28","focus",67,842634,"3HmSJ"
"29","blur",68,853454,"3HmSJ"
"30","focus",68,866760,"3HmSJ"
"31","blur",127,1077562,"3HmSJ"
"32","focus",127,1080103,"3HmSJ"
"33","blur",129,1083187,"3HmSJ"
"34","focus",129,1083755,"3HmSJ"
"35","blur",168,1194232,"3HmSJ"
"36","focus",168,1197022,"3HmSJ"
"37","blur",172,1215092,"3HmSJ"
"38","focus",173,1225913,"3HmSJ"
"39","blur",181,1235676,"3HmSJ"
"40","focus",181,1236183,"3HmSJ"
"41","blur",236,1304918,"3HmSJ"
"42","focus",236,1305572,"3HmSJ"
"43","blur",238,1340113,"3HmSJ"
"44","focus",238,1341777,"3HmSJ"
"45","fullscreenenter",0,8686,"40EAK"
"46","fullscreenenter",0,16743,"5pgCW"
"47","blur",0,0,"5SBp1"
"48","focus",0,0,"5SBp1"
"49","fullscreenenter",0,6260,"5SBp1"
"50","blur",1531,2108493,"5SBp1"
"51","focus",1531,2109105,"5SBp1"
"52","blur",0,0,"5xYXJ"
"53","focus",0,0,"5xYXJ"
"54","fullscreenenter",0,17706,"5xYXJ"
"55","blur",0,14008,"622Ki"
"56","focus",0,23578,"622Ki"
"57","fullscreenenter",0,290099,"622Ki"
"58","fullscreenenter",0,6302,"6MExa"
"59","blur",21,93295,"6MExa"
"60","focus",21,133487,"6MExa"
"61","blur",308,886432,"6MExa"
"62","focus",309,889395,"6MExa"
